# L=4, T=4.0 
# E      M        E^2        M^2
-8.8    -0.44     139.84     58.4
-8.4    0.2     130.24     54.8
-10.44    0.92     169.44     68.24
-9.0    -1.16     139.68     59.68
-8.44    0.32     125.6     48.4
-9.96    0.14     170.08     65.56
-11.08    -1.02     177.12     71.72
-10.88    1.34     186.24     68.2
-10.56    1.34     167.36     66.04
-9.88    -0.18     165.6     63.16
-8.28    -0.48     125.6     48.0
-10.12    -0.7     160.16     63.72
-10.68    0.34     179.68     67.8
-10.04    0.28     161.12     61.68
-11.0    0.38     180.64     72.28
-9.88    -1.1     149.92     61.32
-9.4    0.88     134.56     54.96
-9.48    -1.1     134.56     57.08
-11.04    0.0     201.92     76.96
-11.32    0.02     193.12     72.52
-10.44    1.8     182.56     69.84
-9.0    1.5     135.2     55.64
-10.16    0.14     172.8     60.76
-9.72    0.86     161.44     59.56
-9.32    1.12     149.28     60.4
-9.92    -0.58     167.04     60.44
-10.52    -0.36     174.56     65.44
-9.76    -1.08     148.48     59.36
-9.12    -1.3     136.96     61.24
-10.96    -0.78     186.88     72.68
-9.96    0.94     155.04     62.84
-10.44    1.66     167.52     65.08
-10.64    -0.72     195.84     72.4
-11.36    -0.38     190.4     72.04
-9.48    2.16     142.24     55.84
-10.44    0.36     169.76     68.96
-10.92    -0.04     194.08     76.0
-9.84    -0.36     154.56     59.04
-10.32    0.94     175.04     66.28
-9.64    -0.4     150.88     57.76
-10.84    0.0     173.6     65.84
-11.64    -0.18     215.52     74.84
-10.8    0.58     172.8     64.52
-10.88    0.68     175.68     67.04
-9.68    0.04     160.32     63.6
-10.4    -0.14     188.48     73.72
-9.2    -0.34     144.96     53.24
-9.48    -0.98     154.72     63.8
-9.08    -0.92     130.4     56.64
-9.6    0.04     138.88     57.44
-10.04    1.82     173.92     64.52
-8.64    -1.14     127.36     54.44
-11.4    -0.7     193.12     77.96
-8.64    0.42     119.36     49.56
-10.72    0.44     184.64     71.2
-10.16    -0.34     165.76     66.44
-10.36    -0.88     163.68     69.92
-10.96    -0.66     192.32     73.32
-10.2    0.7     169.76     67.08
-11.48    -0.16     204.0     75.04
-11.32    0.64     195.36     73.28
-10.16    -0.84     174.72     65.52
-11.08    0.02     190.24     73.0
-9.44    -0.5     132.8     56.84
-9.68    0.32     144.0     58.72
-11.0    -0.18     182.24     73.72
-10.08    0.82     182.4     70.68
-9.28    0.86     139.2     53.88
-11.56    1.02     196.32     74.44
-9.72    0.48     148.32     58.4
-10.4    0.12     172.48     67.04
-10.16    -0.2     164.48     62.48
-11.84    -1.32     210.24     73.84
-9.08    -1.32     145.44     58.48
-9.88    0.8     160.48     58.96
-9.48    1.12     153.76     55.04
